Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
Juwan Morgan,UTA,vs.SAS,2020-08-13,W,22,6,3,4,75.0,0,0,-,0,0,-,2,1,3,1,1,1,1,5,7,0,0,14.75
Dejounte Murray,SAS,@UTA,2020-08-13,L,36,12,5,14,35.7,0,2,0.0,2,2,100,1,13,14,7,0,0,6,3,4,1,0,38.5
Nigel Williams-Goss,UTA,vs.SAS,2020-08-13,W,22,10,4,9,44.4,2,5,40.0,0,0,-,0,1,1,1,2,0,1,4,-4,0,0,17.25
Chimezie Metu,SAS,@UTA,2020-08-13,L,27,10,3,6,50.0,0,1,0.0,4,5,80.0,2,4,6,4,1,1,2,2,-12,0,0,26.5
Drew Eubanks,SAS,@UTA,2020-08-13,L,27,8,1,6,16.7,0,0,-,6,8,75.0,2,5,7,3,0,4,1,1,-10,0,0,28.75
Justin Wright-Foreman,UTA,vs.SAS,2020-08-13,W,17,4,2,7,28.6,0,3,0.0,0,0,-,0,2,2,3,1,0,1,2,-11,0,0,12.5
Miye Oni,UTA,vs.SAS,2020-08-13,W,26,10,4,8,50.0,2,5,40.0,0,0,-,1,1,2,2,1,0,1,3,0,0,0,18.0
Luka Samanic,SAS,@UTA,2020-08-13,L,31,16,5,10,50.0,3,5,60.0,3,4,75.0,1,5,6,3,0,1,1,4,7,0,0,31.0
Rayjon Tucker,UTA,vs.SAS,2020-08-13,W,24,18,6,12,50.0,1,4,25.0,5,5,100,0,2,2,1,0,0,0,0,-7,0,0,22.5
Marco Belinelli,SAS,@UTA,2020-08-13,L,30,16,6,11,54.5,3,6,50.0,1,2,50.0,0,0,0,0,0,0,0,2,-6,0,0,17.5
Kyle Korver,MIL,@MEM,2020-08-13,L,21,4,1,3,33.3,1,2,50.0,1,1,100,0,1,1,0,0,0,1,1,-1,0,0,5.25
Marvin Williams,MIL,@MEM,2020-08-13,L,10,5,2,2,100,1,1,100,0,0,-,0,3,3,0,0,0,0,0,-1,0,0,9.25
Brook Lopez,MIL,@MEM,2020-08-13,L,20,19,6,14,42.9,2,8,25.0,5,5,100,4,5,9,1,0,1,0,1,-20,0,0,34.75
